REPOSITORIO	Fonte de Dados
http://www.uel.br/revistas/uel/index.php/infoprof/oai?verb=ListSets	Informação@Profissões
http://www.uel.br/revistas/uel/index.php/mediacoes/oai?verb=ListSets	Mediações - Revista de Ciências Sociais
http://www.uel.br/revistas/uel/index.php/ros/oai?verb=ListSets	Organizações e Sustentabilidade
http://www.uel.br/revistas/uel/index.php/projetica/oai?verb=ListSets	Projetica
http://www.uel.br/revistas/uel/index.php/direitopub/oai?verb=ListSets	Revista do Direito Público
http://www.uel.br/revistas/uel/index.php/rec/oai?verb=ListSets	Revista de Estudos Contábeis
http://www.uel.br/revistas/uel/index.php/iuris/oai?verb=ListSets	Scientia Iuris
http://www.uel.br/revistas/uel/index.php/semagrarias/oai?verb=ListSets	Semina: Ciências Agrárias
http://www.uel.br/revistas/uel/index.php/seminabio/oai?verb=ListSets	Semina: Ciências Biológicas e da Saúde
http://www.uel.br/revistas/uel/index.php/semexatas/oai?verb=ListSets	Semina: Ciências Exatas e Tecnológicas
http://www.uel.br/revistas/uel/index.php/seminasoc/oai?verb=ListSets	Semina: Ciências Sociais e Humanas
http://www.uel.br/revistas/uel/index.php/ssrevista/oai?verb=ListSets	Serviço Social em Revista
http://www.uel.br/revistas/uel/index.php/signum/oai?verb=ListSets	Signum: Estudos da Linguagem
http://www.uel.br/revistas/uel/index.php/terraroxa/oai?verb=ListSets	Terra Roxa e Outras Terras: Revista de Estudos Literários
https://seer.ufmg.br/index.php/mhnjb/oai?verb=ListSets	Arquivos do Museu de História Natural e Jardim Botânico da UFMG
https://seer.ufmg.br/index.php/arquivosemodontologia/oai?verb=ListSets	Arquivos em Odontologia
https://seer.ufmg.br/index.php/revistarbu/oai?verb=ListSets	Bibliotecas Universitárias: pesquisas, experiências e perspectivas
https://seer.ufmg.br/index.php/ccaufmg/oai?verb=ListSets	Caderno de Ciências Agrárias
https://seer.ufmg.br/index.php/cltl/oai?verb=ListSets	Cadernos de Linguística e Teoria da Literatura
https://seer.ufmg.br/index.php/cadernos_pesquisa/oai?verb=ListSets	Cadernos de Pesquisa
https://seer.ufmg.br/index.php/revistacontextura/oai?verb=ListSets	ConTextura
https://seer.ufmg.br/index.php/literatura_filologia/oai?verb=ListSets	Ensaios de Literatura e Filologia
https://seer.ufmg.br/index.php/ensaio/oai?verb=ListSets	Ensaio Pesquisa em Educação em Ciências
https://seer.ufmg.br/index.php/germanicos/oai?verb=ListSets	Estudos Germânicos
https://seer.ufmg.br/index.php/revistageonomos/oai?verb=ListSets	Geonomos
https://seer.ufmg.br/index.php/jidm/oai?verb=ListSets	Journal of Information and Data Management
https://seer.ufmg.br/index.php/licere/oai?verb=ListSets	LICERE - Revista do Programa de Pós-graduação Interdisciplinar em Estudos do Lazer
https://seer.ufmg.br/index.php/margens_margenes/oai?verb=ListSets	Margens / Márgenes: Revista de Cultura
https://seer.ufmg.br/index.php/memorandum/oai?verb=ListSets	Memorandum: Memória e História em Psicologia
https://seer.ufmg.br/index.php/mosaico/oai?verb=ListSets	Mosaico: Estudos em Psicologia
https://seer.ufmg.br/index.php/permusi/oai?verb=ListSets	Per Musi
https://seer.ufmg.br/index.php/phasis/oai?verb=ListSets	Phasis
https://seer.ufmg.br/index.php/revele/oai?verb=ListSets	Revele: Revista Virtual dos Estudantes de Letras
https://seer.ufmg.br/index.php/revistaagora/oai?verb=ListSets	Revista Ágora: políticas públicas, comunicação e governança informacional
https://seer.ufmg.br/index.php/rbeducacaobasica/oai?verb=ListSets	Revista Brasileira de Educação Básica
https://seer.ufmg.br/index.php/rbel/oai?verb=ListSets	Revista Brasileira de Estudos do Lazer
https://seer.ufmg.br/index.php/rbpec/oai?verb=ListSets	Revista Brasileira de Pesquisa em Educação em Ciências
https://seer.ufmg.br/index.php/revistadaufmg/oai?verb=ListSets	Revista da Universidade Federal de Minas Gerais
https://seer.ufmg.br/index.php/revice/oai?verb=ListSets	Revista de Ciências do Estado
https://seer.ufmg.br/index.php/rdcec/oai?verb=ListSets	Revista de Direito Comparado e Estudos Culturais
https://seer.ufmg.br/index.php/lingua_portuguesa/oai?verb=ListSets	Revista de Estudos de Língua Portuguesa
https://seer.ufmg.br/index.php/rdes/oai?verb=ListSets	Revista Docência do Ensino Superior
https://seer.ufmg.br/index.php/literaria_corpo_discente/oai?verb=ListSets	Revista Literária do Corpo Discente da Universidade Federal de Minas Gerais
https://seer.ufmg.br/index.php/lundiana/oai?verb=ListSets	Revista Lundiana
https://seer.ufmg.br/index.php/praxiscomunal/oai?verb=ListSets	Revista Práxis Comunal
https://seer.ufmg.br/index.php/revistatrespontos/oai?verb=ListSets	Revista Três Pontos
https://seer.ufmg.br/index.php/txt/oai?verb=ListSets	Revista Txt: Leituras Transdisciplinares de Telas e Textos
https://seer.ufmg.br/index.php/tabebuia/oai?verb=ListSets	Tabebuia
https://seer.ufmg.br/index.php/teia/oai?verb=ListSets	Teia: Revista Literária dos Estudantes de Letras
https://seer.ufmg.br/index.php/temporalidades/oai?verb=ListSets	Temporalidades
https://seer.ufmg.br/index.php/trabedu/oai?verb=ListSets	Trabalho & Educação - ISSN 1516-9537
https://seer.ufmg.br/index.php/vestigios/oai?verb=ListSets	Vestígios - Revista Latino-Americana de Arqueologia Histórica
http://seer.pucgoias.edu.br/index.php/arithmos/oai?verb=ListSets	Arithmós
http://seer.pucgoias.edu.br/index.php/baru/oai?verb=ListSets	Baru
http://seer.pucgoias.edu.br/index.php/caminhos/oai?verb=ListSets	Caminhos
http://seer.pucgoias.edu.br/index.php/educativa/oai?verb=ListSets	Educativa
http://seer.pucgoias.edu.br/index.php/estudos/oai?verb=ListSets	EVS - Estudos Vida e Saúde
http://seer.pucgoias.edu.br/index.php/fragmentos/oai?verb=ListSets	Fragmentos de Cultura
http://seer.pucgoias.edu.br/index.php/guara/oai?verb=ListSets	Guará
http://seer.pucgoias.edu.br/index.php/habitus/oai?verb=ListSets	Habitus
http://seer.pucgoias.edu.br/index.php/mosaico/oai?verb=ListSets	Mosaico
http://seer.pucgoias.edu.br/index.php/panorama/oai?verb=ListSets	Panorama
http://seer.pucgoias.edu.br/index.php/ser/oai?verb=ListSets	Ser
